"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADPRHL1",0,2.51274185172269,0.913,0.069,0,"0","ADPRHL1"
"MIR1-1HG",0,3.66924822807999,0.87,0.032,0,"0","MIR1-1HG"
"SRL",0,2.38839586579367,0.905,0.074,0,"0","SRL"
"KCND3",0,2.61685424057566,0.905,0.075,0,"0","KCND3"
"PRDM16",0,2.12509997192695,0.903,0.076,0,"0","PRDM16"
"WNK2",0,2.41382266299554,0.936,0.111,0,"0","WNK2"
"CASZ1",0,2.41754222954598,0.891,0.074,0,"0","CASZ1"
"ASB18",0,2.27524350559151,0.886,0.069,0,"0","ASB18"
"MYOM3",0,2.11591105866977,0.905,0.09,0,"0","MYOM3"
"SYNDIG1",0,2.57239912272179,0.862,0.049,0,"0","SYNDIG1"
"SCN5A",0,2.17811361565366,0.918,0.107,0,"0","SCN5A"
"B4GALNT3",0,2.27569945882644,0.86,0.052,0,"0","B4GALNT3"
"FBXO40",0,1.70898790917636,0.922,0.117,0,"0","FBXO40"
"ENSG00000290999",0,1.97479133130013,0.908,0.104,0,"0","ENSG00000290999"
"TRIM54",0,1.70423952061501,0.89,0.087,0,"0","TRIM54"
"MYH7B",0,2.10807401380664,0.92,0.117,0,"0","MYH7B"
"NDRG4",0,2.15493546717684,0.878,0.079,0,"0","NDRG4"
"JPH2",0,2.03387745102972,0.858,0.066,0,"0","JPH2"
"PACRG",0,2.2068559454745,0.917,0.129,0,"0","PACRG"
"CAP2",0,1.48109115747308,0.894,0.107,0,"0","CAP2"
"FSD2",0,1.8183371624815,0.862,0.075,0,"0","FSD2"
"ALPK2",0,1.96805455483143,0.934,0.148,0,"0","ALPK2"
"ACOT11",0,1.56157852368258,0.911,0.127,0,"0","ACOT11"
"CAMK2B",0,2.32957480736498,0.817,0.034,0,"0","CAMK2B"
"SLC4A3",0,2.04103191638472,0.826,0.045,0,"0","SLC4A3"
"PEBP4",0,2.27596470325435,0.835,0.054,0,"0","PEBP4"
"TXLNB",0,1.59304570877278,0.894,0.114,0,"0","TXLNB"
"PLIN5",0,2.60834350304302,0.826,0.047,0,"0","PLIN5"
