"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.66924822807999,0.87,0.032,0,"0","MIR1-1HG"
"2",0,2.88417447397687,0.989,0.349,0,"0","LDB3"
"3",0,3.09035651275759,0.707,0.067,0,"0","MYH6"
"4",0,2.86254246643461,0.611,0.047,0,"0","ANKRD2"
"5",0,3.05577165491395,0.991,0.43,0,"0","MYBPC3"
"6",0,2.89861475715677,0.994,0.453,0,"0","RBM20"
"7",0,3.68226965575395,0.54,0.025,0,"0","LINC02248"
"8",0,3.54015164397614,0.599,0.096,0,"0","ENSG00000289512"
"9",0,3.57825097600218,0.533,0.057,0,"0","HS6ST3"
"10",0,3.50884943104634,1,0.99,0,"0","TTN"
"11",0,5.96849702629833,0.893,0.095,0,"1","ST6GALNAC3"
"12",0,6.56182036727841,0.85,0.053,0,"1","ANO2"
"13",0,6.68303776921098,0.832,0.056,0,"1","VWF"
"14",0,6.06199758466263,0.805,0.1,0,"1","PLEKHG1"
"15",0,6.05911807845167,0.665,0.038,0,"1","BTNL9"
"16",0,5.84969054391398,0.657,0.043,0,"1","PTPRB"
"17",0,5.8933172926105,0.683,0.08,0,"1","SHANK3"
"18",0,6.07230921956149,0.643,0.087,0,"1","F8"
"19",0,6.47678504906859,0.731,0.176,0,"1","MCF2L"
"20",0,5.97674906736071,0.505,0.024,0,"1","TEK"
"21",0,6.0943548921763,0.918,0.109,0,"2","NEGR1"
"22",0,6.21389522918192,0.857,0.051,0,"2","BICC1"
"23",0,6.11566272070754,0.904,0.121,0,"2","ABCA6"
"24",0,8.42898022795245,0.832,0.065,0,"2","ACSM3"
"25",0,6.05756703495995,0.829,0.09,0,"2","ABCA9"
"26",0,7.05639296082651,0.718,0.013,0,"2","MEG3"
"27",0,5.98532666253712,0.839,0.155,0,"2","ABCA10"
"28",0,6.42184427834298,0.712,0.041,0,"2","COL6A3"
"29",0,6.10267639273661,0.764,0.118,0,"2","DCN"
"30",0,7.42963219956855,0.546,0.009,0,"2","VIT"
"31",0,6.48728847138891,0.837,0.068,0,"3","GUCY1A2"
"32",0,7.24405314653536,0.765,0.027,0,"3","EGFLAM"
"33",0,5.16698786848785,0.812,0.084,0,"3","NR2F2-AS1"
"34",0,4.86006583646309,0.891,0.222,0,"3","EPS8"
"35",0,5.48617772732953,0.688,0.07,0,"3","NFASC"
"36",0,4.95625078443114,0.723,0.126,0,"3","MYO1B"
"37",0,5.22824059184853,0.692,0.118,0,"3","RGS5"
"38",0,6.24820918860706,0.52,0.022,0,"3","BMP5"
"39",0,4.85605294796778,0.994,0.765,0,"3","DLC1"
"40",6.62161540150315e-304,5.39822738327815,0.683,0.231,2.55634084190431e-299,"3","CARMN"
"41",7.4168306298546e-152,1.35720486041939,1,0.895,2.86334163296167e-147,"4","PDE3A"
"42",1.66690004236537e-70,1.26647051173717,0.907,0.778,6.43523430355573e-66,"4","PCDH9"
"43",8.1969509410308e-47,1.27700940394641,0.845,0.752,3.16451488029435e-42,"4","MYH7"
"44",8.12212758629231e-44,1.1839404371597,0.778,0.667,3.13562857596401e-39,"4","NLGN1"
"45",5.57351016823483e-36,1.17868740557912,0.77,0.71,2.15170933554874e-31,"4","SOX6"
"46",1.23744274313695e-27,1.22907638342584,0.647,0.58,4.77727145415452e-23,"4","ENSG00000291133"
"47",2.53100305079218e-05,1.26989311930598,0.462,0.543,0.97711903778883,"4","PRKAA2"
"48",4.72746223424067e-05,1.21595188354256,0.307,0.541,1,"4","DECR1"
"49",6.37943029651233e-05,1.21301690493692,0.458,0.519,1,"4","ENSG00000286800"
"50",0.000606075353073433,1.38909427472637,0.467,0.598,1,"4","VPS8"
"51",0,7.86410280844074,0.764,0.05,0,"5","F13A1"
"52",0,7.73621344833134,0.696,0.03,0,"5","MRC1"
"53",0,7.53641640609173,0.671,0.018,0,"5","RBM47"
"54",0,9.08150276543086,0.649,0.014,0,"5","CD163"
"55",0,7.54111515363697,0.592,0.012,0,"5","MS4A6A"
"56",0,6.61701613787754,0.608,0.03,0,"5","TBXAS1"
"57",0,6.84292443978728,0.537,0.009,0,"5","SYK"
"58",0,8.44761674918379,0.526,0.01,0,"5","MS4A4E"
"59",0,7.4055696671345,0.521,0.013,0,"5","MSR1"
"60",6.34362766653642e-252,7.45319769724291,0.663,0.111,2.44902089694305e-247,"5","FMN1"
"61",0,10.4081769206941,0.919,0.007,0,"6","SKAP1"
"62",0,11.3638189835874,0.721,0.002,0,"6","THEMIS"
"63",0,11.2513011038883,0.676,0.001,0,"6","BCL11B"
"64",0,9.57404792272648,0.658,0.004,0,"6","SAMD3"
"65",0,9.76054560172043,0.64,0.003,0,"6","ITK"
"66",0,10.6823618984406,0.64,0.004,0,"6","IL7R"
"67",0,10.2634737133426,0.622,0.002,0,"6","SLAMF6"
"68",0,10.0596049005025,0.622,0.004,0,"6","IKZF3"
"69",0,9.72231705000986,0.586,0.002,0,"6","SCML4"
"70",0,9.92434103573403,0.514,0.002,0,"6","PYHIN1"
"71",0,10.3908355283864,0.951,0.013,0,"7","XKR4"
"72",0,8.78020588462109,0.803,0.017,0,"7","KIRREL3"
"73",0,10.0187561601497,0.738,0.007,0,"7","ST6GALNAC5"
"74",0,9.58543019827824,0.59,0.01,0,"7","NKAIN3"
"75",0,8.78844419151503,0.574,0.005,0,"7","RASGEF1C"
"76",0,11.9142530556633,0.557,0.003,0,"7","SHISA9"
"77",0,8.98226964131281,0.508,0.001,0,"7","XIST"
"78",9.96847863820567e-267,10.7512380278027,1,0.045,3.84843086306568e-262,"7","NRXN1"
"79",3.29207939226044e-153,9.17089065909401,0.951,0.079,1.27094017017606e-148,"7","NRXN3"
"80",2.61097575646234e-75,8.60446100041387,0.508,0.041,1.00799330053985e-70,"7","TMEM132B"
