"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCDC102B",0,2.6907765665429,0.752,0.267,0,"0","CCDC102B"
"EBF2",0,2.05229355953753,0.633,0.221,0,"0","EBF2"
"MSC-AS1",0,1.36288482694058,0.793,0.392,0,"0","MSC-AS1"
"LDB2",0,1.3479446956756,0.694,0.298,0,"0","LDB2"
"PIEZO2",0,2.09722492510592,0.641,0.248,0,"0","PIEZO2"
"RUNX1",0,1.67656172634244,0.756,0.371,0,"0","RUNX1"
"EBF1",0,1.38656117989169,0.907,0.527,0,"0","EBF1"
"FAP",0,1.23622496752508,0.839,0.462,0,"0","FAP"
"POSTN",0,1.68613283087506,0.677,0.305,0,"0","POSTN"
"PPARG",0,2.01910272927019,0.56,0.195,0,"0","PPARG"
"DCLK1",0,2.01176596905246,0.553,0.189,0,"0","DCLK1"
"PLXDC2",0,1.94335184354123,0.788,0.432,0,"0","PLXDC2"
"PDGFRB",0,1.61259952982101,0.638,0.284,0,"0","PDGFRB"
"MAPK10",0,1.87799984903442,0.654,0.303,0,"0","MAPK10"
"PKNOX2",0,2.03412077102797,0.508,0.16,0,"0","PKNOX2"
"ABCA6",0,1.34759574612857,0.66,0.313,0,"0","ABCA6"
"RNF24",0,1.75858430672841,0.646,0.302,0,"0","RNF24"
"UNC5C",0,1.95645748184076,0.63,0.287,0,"0","UNC5C"
"MECOM",0,1.29854199521499,0.719,0.38,0,"0","MECOM"
"CPQ",0,1.28286580273391,0.745,0.41,0,"0","CPQ"
"ITGA11",0,1.41969829177646,0.596,0.262,0,"0","ITGA11"
"RORA",0,1.77594962972805,0.92,0.588,0,"0","RORA"
"KHDRBS3",0,2.27832974595049,0.616,0.29,0,"0","KHDRBS3"
"BNC2",0,1.02111464960957,0.901,0.577,0,"0","BNC2"
"SH3PXD2B",0,1.48983935433604,0.642,0.32,0,"0","SH3PXD2B"
"LPAR1",0,1.40230198558811,0.563,0.241,0,"0","LPAR1"
"DPYD",0,1.33395781293736,0.89,0.569,0,"0","DPYD"
"PDE3A",0,1.36493984952558,0.7,0.385,0,"0","PDE3A"
"ENSG00000286481",0,1.580004752079,0.572,0.264,0,"0","ENSG00000286481"
"IL1R1",0,1.25245847972313,0.665,0.36,0,"0","IL1R1"
"PELI2",0,1.52483768414687,0.505,0.204,0,"0","PELI2"
"DOCK10",0,1.43775066877125,0.504,0.203,0,"0","DOCK10"
"PLPP1",0,2.01301014844795,0.784,0.487,0,"0","PLPP1"
"SGIP1",0,1.47766595860088,0.628,0.334,0,"0","SGIP1"
"MRC2",0,1.54200672401813,0.502,0.211,0,"0","MRC2"
"HMCN1",0,1.20263937684661,0.783,0.496,0,"0","HMCN1"
"COL6A3",0,1.47600355324407,0.959,0.672,0,"0","COL6A3"
"C7",0,2.12486588733654,0.524,0.238,0,"0","C7"
"MMP16",0,1.56285178122415,0.577,0.293,0,"0","MMP16"
"SLC9A9",0,1.67278551619077,0.508,0.227,0,"0","SLC9A9"
"SEC24D",0,1.14384434895722,0.746,0.467,0,"0","SEC24D"
"TRPS1",0,1.6869780547756,0.934,0.659,0,"0","TRPS1"
"ENSG00000254987",0,1.63187013573202,0.6,0.332,0,"0","ENSG00000254987"
"SNX9",0,1.35492379285823,0.865,0.599,0,"0","SNX9"
"ZEB2",0,1.36710218895918,0.849,0.586,0,"0","ZEB2"
"BBS9",0,1.19193547205219,0.736,0.475,0,"0","BBS9"
"PRRX1",0,1.04219525097976,0.835,0.579,0,"0","PRRX1"
"SYNJ2",0,1.31562174155209,0.674,0.427,0,"0","SYNJ2"
"NAALADL2",0,1.06883420603471,0.812,0.569,0,"0","NAALADL2"
"DLEU2",0,1.24733043181238,0.797,0.587,0,"0","DLEU2"
"PPP3CA",0,1.00277421953946,0.827,0.617,0,"0","PPP3CA"
"ZFPM2-AS1",0,1.26182038712048,0.802,0.593,0,"0","ZFPM2-AS1"
"PPFIBP1",0,1.1762768146244,0.816,0.612,0,"0","PPFIBP1"
"MIR99AHG",0,1.0796001972877,0.814,0.62,0,"0","MIR99AHG"
"ARHGAP24",0,1.00277432016103,0.894,0.717,0,"0","ARHGAP24"
"PRKG1",0,1.09998940167428,0.975,0.838,0,"0","PRKG1"
"DLC1",0,1.1868744336894,0.909,0.774,0,"0","DLC1"
"MAML2",0,1.02717096060312,0.952,0.82,0,"0","MAML2"
"ZBTB20",0,1.08893110706145,0.963,0.838,0,"0","ZBTB20"
"CHST11",2.23695632139312e-317,1.65021898040248,0.63,0.385,8.63599357437028e-313,"0","CHST11"
"SLC2A13",8.40039600457644e-315,1.46228362762156,0.585,0.317,3.24305688152678e-310,"0","SLC2A13"
"SLC38A6",2.66398065659026e-306,1.26135029293425,0.596,0.321,1.02845637228323e-301,"0","SLC38A6"
"ADD3",6.29768684638667e-306,1.02845125945288,0.818,0.651,2.43128498391604e-301,"0","ADD3"
"NR2F2-AS1",1.52531874058402e-304,1.33673416877743,0.504,0.215,5.88864552989866e-300,"0","NR2F2-AS1"
"FRMD4A",1.70080620949362e-303,1.14176034768707,0.657,0.381,6.56613245237108e-299,"0","FRMD4A"
"PLSCR4",6.37496558957413e-298,1.04537472975351,0.65,0.347,2.46111921551099e-293,"0","PLSCR4"
"OXR1",2.16931438296138e-296,1.07562881721465,0.751,0.516,8.37485510686072e-292,"0","OXR1"
"WWTR1",4.54917804375621e-285,1.19109252331046,0.782,0.603,1.75625567557252e-280,"0","WWTR1"
"ABCA9",4.02314501502959e-276,1.04938727671893,0.676,0.388,1.55317536450232e-271,"0","ABCA9"
"LYST",3.37220186168889e-275,1.13370160273049,0.638,0.391,1.30187225072361e-270,"0","LYST"
"COL14A1",3.96703704039182e-275,1.50534444659463,0.516,0.259,1.53151431981367e-270,"0","COL14A1"
"PHLDB1",1.2993818500019e-273,1.44489703947021,0.544,0.31,5.01639357011734e-269,"0","PHLDB1"
"PID1",4.43933986738431e-269,1.20058464857922,0.576,0.296,1.71385154920238e-264,"0","PID1"
"FAM110B",1.01437077310889e-264,1.1453918701236,0.729,0.524,3.91607980666418e-260,"0","FAM110B"
"UTY",1.96380496958674e-256,1.07243955709414,0.545,0.268,7.58146546558657e-252,"0","UTY"
"CENPP",9.07314347646555e-254,1.23522433405296,0.618,0.385,3.50277777052429e-249,"0","CENPP"
"CLMP",9.40137366294757e-253,1.21429266648078,0.56,0.289,3.62949431631754e-248,"0","CLMP"
"PLA2R1",1.04843672134909e-249,1.09655228764599,0.52,0.25,4.0475948064403e-245,"0","PLA2R1"
"UACA",1.13999285981808e-248,1.24972663715343,0.829,0.714,4.40105643461368e-244,"0","UACA"
"CALCRL-AS1",2.41447107618998e-246,1.24424823280842,0.637,0.372,9.32130703673902e-242,"0","CALCRL-AS1"
"PDE7B",6.60711087307684e-246,1.01452169106118,0.68,0.399,2.55074122366004e-241,"0","PDE7B"
"SLC39A11",2.48748819107806e-244,1.26118641160204,0.541,0.306,9.60319691047596e-240,"0","SLC39A11"
"PCDH9",4.55573750386299e-241,1.22312050869108,0.656,0.43,1.75878802074135e-236,"0","PCDH9"
"GAB2",3.12405946423496e-240,1.07791330752518,0.684,0.479,1.20607439676255e-235,"0","GAB2"
"RUFY3",2.94630265821273e-239,1.03766191458432,0.611,0.383,1.13744960422961e-234,"0","RUFY3"
"SOBP",7.587355891872e-239,1.18922631272024,0.624,0.411,2.9291746156161e-234,"0","SOBP"
"SERINC5",6.5871628851628e-236,1.53014802904657,0.505,0.29,2.54304010344595e-231,"0","SERINC5"
"MDFIC",4.47505504624736e-228,1.25586181303208,0.581,0.374,1.72763975115426e-223,"0","MDFIC"
"RAD51B",4.07377186420492e-212,1.00717497581429,0.647,0.433,1.57272036589495e-207,"0","RAD51B"
"TPST1",5.65400939429321e-205,1.00574537147552,0.617,0.403,2.18278686676084e-200,"0","TPST1"
"ARHGAP32",9.26618616499036e-201,1.06133534130094,0.624,0.445,3.57730383085618e-196,"0","ARHGAP32"
"RRAGC-DT",2.95082157812222e-198,1.01934178892965,0.538,0.316,1.13919417844987e-193,"0","RRAGC-DT"
"GLI2",2.08877499412473e-197,1.19971265770659,0.516,0.305,8.06392474231795e-193,"0","GLI2"
"JARID2",1.99319837700116e-196,1.08772153862391,0.651,0.487,7.6949416542507e-192,"0","JARID2"
"SETBP1",3.76456710973421e-170,1.03005293384823,0.597,0.417,1.45334877838399e-165,"0","SETBP1"
"SLC44A1",3.21195277597488e-165,1.06363607711348,0.512,0.328,1.24000648869286e-160,"0","SLC44A1"
"PTPN13",9.38580457769346e-162,1.08300746086584,0.505,0.324,3.62348371526434e-157,"0","PTPN13"
"PAPPA",1.60523309140007e-141,1.0008397660397,0.732,0.56,6.19716287265912e-137,"0","PAPPA"
"COL18A1",5.15007968425102e-117,1.06454919324668,0.521,0.393,1.98823976290195e-112,"0","COL18A1"
"ANKH",3.25046331529527e-45,1.08648275801782,0.535,0.479,1.25487386750289e-40,"0","ANKH"
"RBM20",0,3.65233981593436,0.807,0.093,0,"1","RBM20"
"ERBB4",0,3.54995504813072,0.873,0.166,0,"1","ERBB4"
"CTNNA3",0,3.78774840696801,0.875,0.172,0,"1","CTNNA3"
"TECRL",0,3.80262091159308,0.813,0.123,0,"1","TECRL"
"MLIP",0,3.82744184201174,0.789,0.1,0,"1","MLIP"
"MYOCD",0,3.71992338029222,0.773,0.091,0,"1","MYOCD"
"BMP5",0,3.59717640322146,0.774,0.095,0,"1","BMP5"
"MYBPC3",0,3.78997676641312,0.759,0.083,0,"1","MYBPC3"
"MYO18B",0,3.76849967374135,0.764,0.088,0,"1","MYO18B"
"RYR2",0,3.57168738983268,0.902,0.227,0,"1","RYR2"
"LDB3",0,3.68778832875857,0.778,0.103,0,"1","LDB3"
"MTUS2",0,3.71051758652326,0.755,0.085,0,"1","MTUS2"
"NEBL",0,3.48622786836131,0.843,0.181,0,"1","NEBL"
"TRDN",0,3.8325989407644,0.744,0.083,0,"1","TRDN"
"CHRM2",0,3.53272574305465,0.768,0.107,0,"1","CHRM2"
"ENSG00000286071",0,3.73722037579808,0.766,0.106,0,"1","ENSG00000286071"
"EMC10",0,3.61207823909807,0.786,0.129,0,"1","EMC10"
"MYOM1",0,3.54398769299248,0.807,0.153,0,"1","MYOM1"
"CTNND2",0,3.76081472203893,0.726,0.073,0,"1","CTNND2"
"FBN2",0,3.5370850213402,0.862,0.209,0,"1","FBN2"
"ACTN2",0,3.41368130881263,0.777,0.125,0,"1","ACTN2"
"TNNI3K",0,3.70670644798771,0.743,0.096,0,"1","TNNI3K"
"ENSG00000289950",0,3.81366019037166,0.704,0.058,0,"1","ENSG00000289950"
"NCAM1",0,3.11560846406709,0.773,0.128,0,"1","NCAM1"
"CACNB2",0,3.6379636628099,0.814,0.17,0,"1","CACNB2"
"ENSG00000268518",0,3.7573573130136,0.706,0.066,0,"1","ENSG00000268518"
"AKAP6",0,3.43446393308386,0.781,0.145,0,"1","AKAP6"
"MYL3",0,3.43759659714079,0.727,0.093,0,"1","MYL3"
"CADPS",0,3.65391368986965,0.699,0.066,0,"1","CADPS"
"PLEKHA7",0,3.40621764330793,0.723,0.092,0,"1","PLEKHA7"
"TNNT2",0,3.0846146100451,0.856,0.226,0,"1","TNNT2"
"ERC2",0,3.77815722013057,0.697,0.067,0,"1","ERC2"
"FGF12",0,3.70360174717006,0.823,0.193,0,"1","FGF12"
"CORIN",0,3.6895151837717,0.71,0.081,0,"1","CORIN"
"SLC8A1-AS1",0,3.62738153834914,0.72,0.096,0,"1","SLC8A1-AS1"
"LRRTM3",0,3.86704214736157,0.679,0.055,0,"1","LRRTM3"
"MYL4",0,3.01091649421031,0.729,0.105,0,"1","MYL4"
"LDLRAD4",0,3.41146665153868,0.724,0.1,0,"1","LDLRAD4"
"KCNN2",0,3.42392104748394,0.695,0.074,0,"1","KCNN2"
"TRIM55",0,3.71082462963669,0.68,0.06,0,"1","TRIM55"
"ADGRL3",0,3.17437863255302,0.8,0.182,0,"1","ADGRL3"
"SORBS2",0,3.41560955428776,0.868,0.25,0,"1","SORBS2"
"KCNH7",0,3.59090672272468,0.686,0.07,0,"1","KCNH7"
"ESRRG",0,3.43607797222839,0.701,0.085,0,"1","ESRRG"
"RNF150",0,3.3770461386701,0.763,0.148,0,"1","RNF150"
"GCNT2",0,3.70870691074778,0.676,0.066,0,"1","GCNT2"
"CMYA5",0,3.57250025833256,0.777,0.167,0,"1","CMYA5"
"MYH7",0,2.26084831541521,0.769,0.161,0,"1","MYH7"
"MYLK3",0,3.53889574133124,0.678,0.071,0,"1","MYLK3"
"CCDC141",0,3.47723327969774,0.689,0.083,0,"1","CCDC141"
"FHOD3",0,3.35230867393937,0.872,0.266,0,"1","FHOD3"
"PLN",0,3.07058417571505,0.723,0.118,0,"1","PLN"
"SMYD1",0,3.4139503702825,0.669,0.065,0,"1","SMYD1"
"ENTREP1",0,3.58588909441952,0.671,0.069,0,"1","ENTREP1"
"PKP2",0,3.1450306347445,0.713,0.111,0,"1","PKP2"
"CHN2",0,3.45030768748393,0.718,0.119,0,"1","CHN2"
"TRDN-AS1",0,3.77785721422102,0.662,0.064,0,"1","TRDN-AS1"
"PPP1R9A",0,3.13928330968616,0.707,0.116,0,"1","PPP1R9A"
"ACOT11",0,3.54234337154968,0.663,0.074,0,"1","ACOT11"
"SCN5A",0,3.48419486176539,0.654,0.067,0,"1","SCN5A"
"ADCY5",0,3.44440373809898,0.652,0.065,0,"1","ADCY5"
"SNRPN",0,3.12299649196797,0.682,0.106,0,"1","SNRPN"
"MYH6",0,3.05227097413412,0.689,0.114,0,"1","MYH6"
"RBM24",0,3.20979406638993,0.64,0.071,0,"1","RBM24"
"JPH2",0,3.25598946288922,0.643,0.074,0,"1","JPH2"
"MYOZ2",0,2.80271724099003,0.723,0.154,0,"1","MYOZ2"
"ADAM23",0,3.23158086873594,0.652,0.085,0,"1","ADAM23"
"MYL7",0,2.6909412160269,0.786,0.221,0,"1","MYL7"
"CASZ1",0,3.50219169639118,0.617,0.055,0,"1","CASZ1"
"DPF3",0,2.97625747776578,0.69,0.13,0,"1","DPF3"
"ACTC1",0,2.19678418239523,0.731,0.173,0,"1","ACTC1"
"RCAN2",0,3.04416585364812,0.675,0.118,0,"1","RCAN2"
