"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.6907765665429,0.752,0.267,0,"0","CCDC102B"
"2",0,2.27832974595049,0.616,0.29,0,"0","KHDRBS3"
"3",0,2.12486588733654,0.524,0.238,0,"0","C7"
"4",0,3.86704214736157,0.679,0.055,0,"1","LRRTM3"
"5",0,4.01197829710588,0.581,0.044,0,"1","LINC02552"
"6",0,3.86448412544039,0.56,0.057,0,"1","BRINP3"
"7",0,2.071150147949,0.852,0.462,0,"2","DDAH1"
"8",0,1.88921442494024,0.719,0.347,0,"2","NRK"
"9",0,1.90230032264077,0.889,0.654,0,"2","MID1"
"10",0,1.97871312768287,0.78,0.456,0,"3","PTX3"
"11",9.56123284894438e-303,1.8607634627751,0.804,0.52,3.69120955366347e-298,"3","CCN2"
"12",3.02369155775032e-165,1.90960613734693,0.588,0.357,1.16732636278509e-160,"3","CALR"
"13",0,4.2432624993134,0.7,0.082,0,"4","MIR924HG"
"14",0,4.24795105690025,0.643,0.031,0,"4","POLQ"
"15",0,5.19366789907957,0.51,0.011,0,"4","KIF18B"
