"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCDC102B",0,4.87129256721256,0.921,0.213,0,"0","CCDC102B"
"PIEZO2",0,3.48244869797821,0.757,0.215,0,"0","PIEZO2"
"POSTN",0,2.99532822558243,0.803,0.266,0,"0","POSTN"
"COL24A1",0,3.70624793125179,0.556,0.103,0,"0","COL24A1"
"PLXDC2",0,3.51548442260422,0.869,0.416,0,"0","PLXDC2"
"EBF2",0,2.67421446753768,0.674,0.231,0,"0","EBF2"
"LDB2",0,1.58476983933937,0.743,0.302,0,"0","LDB2"
"UNC5C",0,3.1099000638851,0.709,0.272,0,"0","UNC5C"
"KHDRBS3",0,3.65100974999372,0.7,0.269,0,"0","KHDRBS3"
"C7",0,3.29307874572519,0.632,0.202,0,"0","C7"
"PPARG",0,3.07773385665381,0.62,0.191,0,"0","PPARG"
"DCLK1",0,2.78570187888663,0.614,0.185,0,"0","DCLK1"
"MSC-AS1",0,1.93587503352579,0.83,0.404,0,"0","MSC-AS1"
"PLPP1",0,3.62630290662479,0.882,0.458,0,"0","PLPP1"
"SGCD",0,2.65581047691719,0.587,0.163,0,"0","SGCD"
"MAPK10",0,2.84479389219346,0.708,0.301,0,"0","MAPK10"
"ITGA11",0,2.34171244097185,0.66,0.254,0,"0","ITGA11"
"RUNX1",0,2.25912910122983,0.786,0.385,0,"0","RUNX1"
"DNM3OS",0,2.4188097637501,0.539,0.139,0,"0","DNM3OS"
"PKNOX2",0,2.952005392351,0.559,0.159,0,"0","PKNOX2"
"MECOM",0,1.82722688013628,0.772,0.377,0,"0","MECOM"
"HGF",0,2.79197266795362,0.536,0.142,0,"0","HGF"
"MMP16",0,2.82615462369248,0.66,0.27,0,"0","MMP16"
"EBF1",0,1.71974397208298,0.932,0.543,0,"0","EBF1"
"FAP",0,1.54586721641925,0.86,0.48,0,"0","FAP"
"PDGFRB",0,2.4057466618644,0.672,0.293,0,"0","PDGFRB"
"RHOJ",0,1.8653855195586,0.552,0.183,0,"0","RHOJ"
"RNF24",0,2.27252251615831,0.68,0.311,0,"0","RNF24"
"COL14A1",0,2.64007975828554,0.602,0.233,0,"0","COL14A1"
"CSGALNACT1",0,1.80102984153461,0.516,0.149,0,"0","CSGALNACT1"
"ITGA1",0,3.26020023732234,0.567,0.203,0,"0","ITGA1"
"RORA",0,2.95170180945895,0.957,0.594,0,"0","RORA"
"UNC5B",0,2.29300487892094,0.602,0.241,0,"0","UNC5B"
"ENSG00000254987",0,2.98896155570628,0.673,0.313,0,"0","ENSG00000254987"
"PELI2",0,2.13145273486398,0.549,0.204,0,"0","PELI2"
"MGP",0,1.1750008788663,0.783,0.439,0,"0","MGP"
"DPYD",0,1.87576885243038,0.918,0.579,0,"0","DPYD"
"RNF152",0,3.41261287116394,0.507,0.172,0,"0","RNF152"
"MRC2",0,2.20721083245036,0.545,0.211,0,"0","MRC2"
"SH3PXD2B",0,2.00533955866785,0.666,0.332,0,"0","SH3PXD2B"
"CPQ",0,1.73307975337952,0.759,0.428,0,"0","CPQ"
"PDE3A",0,2.11401633994712,0.721,0.398,0,"0","PDE3A"
"BNC2",0,1.01731840486264,0.915,0.595,0,"0","BNC2"
"SLC2A13",0,2.09604631820317,0.631,0.313,0,"0","SLC2A13"
"PLSCR4",0,1.61557842335206,0.675,0.358,0,"0","PLSCR4"
"SLC9A9",0,2.40529676864239,0.544,0.229,0,"0","SLC9A9"
"ENSG00000286481",0,2.1107950146795,0.59,0.279,0,"0","ENSG00000286481"
"DOCK10",0,1.7615712096932,0.522,0.217,0,"0","DOCK10"
"SYNJ2",0,2.00021922382352,0.724,0.419,0,"0","SYNJ2"
"COL6A3",0,2.17620278307282,0.985,0.68,0,"0","COL6A3"
"LPAR1",0,1.6799010240009,0.567,0.264,0,"0","LPAR1"
"FRMD4A",0,1.46437983935718,0.687,0.387,0,"0","FRMD4A"
