"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.87129256721256,0.921,0.213,0,"0","CCDC102B"
"2",0,3.70624793125179,0.556,0.103,0,"0","COL24A1"
"3",0,3.65100974999372,0.7,0.269,0,"0","KHDRBS3"
"4",0,3.18291190168379,0.997,0.453,0,"1","CEMIP"
"5",0,2.86679056299487,0.552,0.091,0,"1","ENSG00000287544"
"6",0,3.33694438641925,0.98,0.619,0,"1","MID1"
"7",0,6.72901594522583,0.919,0.02,0,"2","ENSG00000268518"
"8",0,6.68324046666955,0.995,0.152,0,"2","CTNNA3"
"9",0,6.49162526848552,0.999,0.502,0,"2","SLC8A1"
"10",0,3.26387073650799,0.981,0.399,0,"3","PTX3"
"11",0,3.03247721445865,0.966,0.473,0,"3","CCN2"
"12",0,2.95197716595317,0.863,0.385,0,"3","S100A6"
"13",1.19209229537637e-159,3.45661804851388,0.671,0.281,4.60219151553e-155,"4","MYH7"
"14",7.83786901146022e-119,2.06647193128438,0.826,0.684,3.02588771056433e-114,"4","MT-CO1"
"15",2.74413101147395e-47,2.09098435996458,0.567,0.448,1.05939921828963e-42,"4","MT-CO3"
"16",0,8.04041489388724,0.76,0.023,0,"5","VWF"
"17",0,8.5516965901463,0.685,0.011,0,"5","ANO2"
"18",0,7.22057815509387,0.671,0.016,0,"5","EMCN"
